"","AETdiff","AMK","GEN","TOB","CIP","LEV","COL","ATM","CAZ","FEP","MEM","IPM","TZP"
"232","0","8","4","1","0.25","1","1","8","16","16","4","2","8"
"233","0","8","4","1","0.125","2","0.5","8","4","2","0.5","2","4"
"234","0","2","2","0.25","0.25","0.25","0.5","4","2","4","0.125","0.5","16"
"235","0","4","4","0.5","0.25","0.5","1","4","4","2","0.125","1","4"
"236","0","4","4","0.5","0.125","0.5","1","8","4","2","0.125","1","4"
"237","0","4","4","0.5","0.25","0.5","0.5","8","4","2","0.125","1","8"
"238","0","4","4","1","0.25","1","1","8","4","8","0.25","1","4"
"239","0","4","4","1","0.25","0.5","1","8","4","4","1","1","8"
"240","0","4","4","1","0.25","0.5","1","8","4","4","1","1","8"
"241","0","4","4","1","0.25","1","1","16","4","4","2","1","8"
"242","0","8","8","1","0.5","1","2","8","4","4","1","2","16"
"243","0","8","4","1","0.5","1","1","8","4","2","0.25","1","16"
"244","0","8","4","1","0.25","1","2","16","8","4","0.5","2","8"
"245","0","4","2","0.5","0.25","1","2","8","4","2","0.125","2","4"
"246","0","8","2","0.5","0.25","1","4","8","4","2","0.25","2","4"
"247","0","4","4","0.5","0.25","1","1","4","4","4","0.5","4","8"
"248","0","4","2","0.5","0.25","1","1","8","4","2","0.25","4","4"
"249","0","4","2","0.5","0.25","0.5","1","8","2","2","0.125","1","4"
"250","0","4","2","0.5","0.25","0.5","1","8","4","1","0.5","1","8"
"251","0","8","8","1","0.0625","0.25","0.5","4","4","2","0.5","1","8"
"252","0","8","8","1","0.25","0.5","2","4","4","4","1","2","4"
"253","0","8","4","1","0.0625","0.125","1","4","4","4","0.5","2","8"
"254","0","8","8","2","0.125","0.5","2","4","4","4","0.5","2","4"
"255","1","16","256","256","4","8","0.25","16","256","64","32","16","32"
"256","0","4","1","0.5","0.125","0.5","0.5","8","2","2","0.5","2","4"
"257","0","8","8","1","0.5","2","0.5","4","2","4","0.125","0.5","4"
"258","0","4","2","1","0.125","0.5","1","4","2","4","0.5","2","4"
"259","0","1","1","0.5","0.5","0.25","0.5","0.5","1","0.25","0.25","1","0.25"
"260","0","1","0.5","0.25","0.0312","0.0625","0.5","1","2","0.5","0.25","2","8"
"261","0","4","4","1","2","4","1","4","4","2","1","4","4"
"262","0","16","4","1","0.5","1","4","8","4","4","1","2","8"
"263","0","16","8","1","0.5","1","4","16","4","8","0.5","2","8"
"264","0","4","2","0.5","0.125","0.5","0.5","8","4","2","0.125","0.5","8"
"265","0","4","2","0.5","0.25","0.5","4","4","4","2","0.0625","0.5","4"
"266","0","16","8","2","0.0625","0.25","1","1","8","4","0.0312","1","1"
"267","1","4","2","0.25","1","4","1","4","4","2","0.5","4","8"
"268","1","4","2","2","2","4","1","4","8","2","0.25","4","4"
"269","1","2","1","0.5","1","4","1","4","16","4","0.5","4","4"
"270","1","4","4","0.5","2","4","1","4","4","2","0.5","4","4"
"271","0","4","2","0.5","0.125","0.5","2","4","8","4","0.25","2","4"
"272","0","2","1","0.25","0.5","1","0.5","8","2","2","0.125","2","4"
"273","0","4","2","0.5","0.125","0.5","8","8","4","2","0.0625","0.5","8"
"274","0","4","2","1","0.25","1","0.5","8","8","8","0.25","2","4"
"275","0","4","8","0.5","0.25","1","0.5","4","4","2","0.25","2","4"
"276","0","4","2","1","0.25","1","1","8","4","2","0.25","2","4"
"277","0","16","16","4","0.5","2","0.5","4","8","16","0.25","2","8"
"278","0","16","16","4","1","2","0.5","4","8","32","1","2","4"
"279","0","2","2","0.5","0.125","0.5","1","8","4","2","0.125","0.5","4"
"280","0","4","8","1","0.25","0.5","0.5","4","4","4","2","4","8"
"281","0","8","4","1","0.25","1","0.5","4","4","4","1","4","4"
"282","0","8","8","1","0.5","1","0.5","8","4","4","1","4","8"
"283","0","4","2","0.5","0.125","0.5","2","8","4","2","0.125","0.5","8"
"284","0","4","2","0.5","0.125","0.5","0.5","4","4","2","0.25","1","4"
"285","0","4","2","0.5","0.5","0.5","0.5","4","4","2","1","0.125","4"
"286","0","4","2","0.5","0.125","0.5","0.5","4","4","2","0.125","1","4"
"287","1","8","4","1","0.125","0.5","1","4","2","1","1","0.5","8"
"288","1","4","4","0.5","0.125","1","0.5","4","4","2","0.25","1","4"
"289","1","4","2","0.5","0.25","0.5","0.5","4","2","2","0.125","1","4"
"290","0","8","4","1","0.125","0.5","0.5","8","4","2","0.25","1","8"
"291","0","8","4","1","0.125","1","0.5","8","8","4","0.25","1","8"
"292","0","8","4","1","0.0625","0.5","0.5","8","4","4","0.125","1","8"
"293","0","8","4","1","0.125","0.5","0.5","8","2","4","0.25","1","4"
